Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-3876.228	-4022.482	146.2543	0.195282	0.117342	0.0284274	0.0508921	0.0488669	0.0443165	0.0405964	0.0229809	0.0537906	0.00637616	0.044931	0.112546	0.120694	0.0244558	0.092893	0.0414585	0.0547656	0.0901431	0.183639	0.0313926	0.120709	0.0945678	0.0602439	0.014524	0.00038098	0.0725097	0.0949637	0.0290996	0.0667115	0.0345051	0.057195	0.030501	0.0668326	0.074083	0.0202568	0.0259361	0.0670492	0.152979	0.030532	0.000358443	0.0122536	0.0175592	0.0176845	0.0153687	0.0169669	0.0117577	0.0692787	0.265791	0.0654942	0.0689455	0.000378727	0.230411	0.109288	0.00204867	0.00242005	0.0318794	0.00230724	0.224211	0.0580391	0.164108	0.0541272	0.0676579	0.00373451	0.0827845	0.00873594	0.0252826	0.0137229	0.0529499	0.0267116	0.0766452	0.104172	0.0339881	0.0734532	0.0284699	0.00503879	0.0193531	0.0200213	0.0155698	0.172726	0.0426616	0.0630737	0.0175244	0.00313037	0.0784563	0.0737812	0.0157738	0.0438986	0.023139	0.0859115	1.184628	0.8153721	0.299829	0.555738	0.832538	1.20115	1.79941	3.33523	0.8709672	0.6882939	0.0372788	0.0224002	0.00542673	0.00971518	0.00932858	0.00845992	0.00774975	0.004387	0.0102685	0.00121719	0.00857722	0.0214848	0.0230401	0.00466855	0.0177331	0.00791432	0.0104546	0.0172081	0.0350562	0.00599278	0.023043	0.0180528	0.0115004	0.0027726	7.27282e-05	0.0138419	0.0181283	0.00555504	0.0127351	0.00658695	0.0109184	0.00582256	0.0127582	0.0141423	0.00386698	0.00495113	0.0127995	0.0292032	0.00582848	6.84259e-05	0.00233918	0.003352	0.00337594	0.00293384	0.00323894	0.00224452	0.0132251	0.0507388	0.0125027	0.0131615	7.2298e-05	0.0439849	0.0208627	0.000391085	0.000461981	0.00608569	0.000440446	0.0428014	0.0110795	0.0313278	0.0103327	0.0129157	0.000712908	0.0158034	0.00166767	0.00482639	0.00261967	0.010108	0.00509918	0.0146314	0.0198861	0.00648824	0.014022	0.00543484	0.000961893	0.00369446	0.00382202	0.00297223	0.032973	0.00814399	0.0120406	0.00334537	0.000597579	0.0149771	0.0140847	0.00301119	0.00838014	0.00441717	0.0164003	0.407686	0.592314	5.238412
36	-3881.021	-4026.694	145.6739	0.204044	0.0566768	0.04855	0.044173	0.0493024	0.0166833	0.0275688	0.0426447	0.0777677	0.0985544	0.0598895	0.0970455	0.0205151	0.0400983	0.252799	0.0239947	0.134358	0.0557491	0.203651	0.100587	0.0640977	0.162124	0.069833	0.025186	0.00553041	0.0424809	0.138217	0.0285338	0.0410054	0.0249968	0.0465221	0.0114585	0.0701357	0.0524088	0.0565068	0.0205858	0.0600147	0.131247	0.0502312	0.000873186	0.00997319	0.0192083	0.017884	0.00382367	0.0121251	0.0224206	0.0831207	0.0146863	0.0387014	0.0275677	0.0301307	0.0636702	0.0479963	0.0614157	0.0917373	0.0179566	0.0186388	0.114242	0.0161072	0.116738	0.0622971	0.0342598	0.117873	0.0620755	0.0120187	0.0673053	0.0440095	0.136673	0.139974	0.0722747	0.0133869	0.0430611	0.0659348	0.322424	0.0354631	0.0489752	0.0491606	0.0784253	0.0809916	0.0151141	0.00432782	0.027727	0.02248	0.172476	0.0417769	0.0619542	0.0304144	0.0227239	0.00999896	1.117448	0.8825524	0.293839	0.550295	0.829986	1.20484	1.81721	3.40322	0.8855584	0.7897931	0.0372319	0.0103418	0.00885891	0.00806023	0.00899619	0.0030442	0.00503047	0.00778137	0.0141903	0.0179832	0.010928	0.0177079	0.00374339	0.00731672	0.0461281	0.00437831	0.0245162	0.0101725	0.0371602	0.0183541	0.0116959	0.0295828	0.0127424	0.00459568	0.00100913	0.00775148	0.0252203	0.00520655	0.00748225	0.00456117	0.00848887	0.00209082	0.0127976	0.00956302	0.0103108	0.00375628	0.0109509	0.0239486	0.00916567	0.00015933	0.0018198	0.00350493	0.00326329	0.000697704	0.00221245	0.00409108	0.015167	0.0026798	0.00706183	0.00503027	0.00549794	0.0116179	0.00875787	0.0112065	0.0167393	0.00327653	0.00340101	0.0208456	0.00293908	0.0213012	0.0113673	0.00625137	0.0215082	0.0113269	0.00219306	0.0122812	0.0080304	0.0249386	0.0255411	0.0131879	0.00244271	0.00785735	0.0120311	0.0588327	0.00647095	0.00893648	0.00897031	0.0143102	0.0147785	0.00275786	0.000789696	0.00505934	0.00410192	0.0314717	0.00762303	0.0113048	0.00554971	0.00414643	0.00182451	0.441276	0.558724	5.480361
72	-3880.724	-4026.33	145.6062	0.295669	0.0343267	0.122854	0.109568	0.0548013	0.0176681	0.0342108	0.0215578	0.0735534	0.0702982	0.0561216	0.112542	0.0231726	0.0710926	0.113646	0.132867	0.132837	0.107455	0.141458	0.0173623	0.128761	0.154284	0.0396252	0.00333471	0.00987894	0.0888962	0.0880052	0.0645207	0.0456548	0.0299806	0.0378487	0.00471411	0.105717	0.0292903	0.0606737	0.00194001	0.0808496	0.119623	0.0136968	1.11116e-07	0.024632	0.0256669	0.0308291	0.0163091	0.0128939	0.0286299	0.035431	0.0117337	0.0464085	0.0607681	0.0227019	0.0599539	0.0203993	0.0145843	0.031943	0.0275192	0.126947	0.3522	0.0849066	0.152155	0.00704402	0.0672885	0.0722855	0.0125289	0.0319854	0.0625731	0.0708467	0.0803098	0.0483773	0.0864481	0.00531397	0.0525637	0.00853781	0.090062	0.029203	0.0704465	0.031999	0.0210885	0.00723325	0.114429	0.0455111	0.110932	0.084458	0.0175028	0.00963718	0.042633	0.0480915	0.0902824	0.0219632	1.129722	0.8702778	0.257887	0.51636	0.813667	1.229	1.93663	3.87766	0.9799266	0.7703467	0.0539685	0.00626567	0.0224245	0.0199995	0.0100029	0.00322497	0.0062445	0.00393496	0.0134257	0.0128316	0.0102439	0.0205423	0.00422969	0.0129766	0.0207438	0.0242522	0.0242467	0.0196137	0.0258204	0.00316915	0.0235029	0.0281615	0.0072328	0.000608685	0.00180321	0.0162262	0.0160636	0.011777	0.00833338	0.00547238	0.00690853	0.000860468	0.0192965	0.00534637	0.0110748	0.000354111	0.0147575	0.0218348	0.00250008	2.02821e-08	0.00449609	0.00468498	0.00562724	0.00297691	0.00235352	0.00522583	0.00646723	0.00214175	0.00847095	0.011092	0.00414378	0.0109434	0.00372349	0.00266208	0.00583057	0.00502309	0.0231716	0.0642872	0.015498	0.0277729	0.00128575	0.0122822	0.0131943	0.0022869	0.0058383	0.0114215	0.0129317	0.014659	0.00883033	0.0157794	0.000969961	0.00959447	0.00155841	0.0164391	0.00533044	0.0128586	0.00584079	0.0038493	0.00132029	0.0208868	0.00830715	0.0202485	0.0154161	0.00319479	0.00175908	0.00778182	0.00877816	0.0164793	0.00400895	0.435139	0.564861	5.478542
108	-3878.995	-4024.379	145.3833	0.155946	0.0716485	0.12126	0.0804501	0.0609138	0.0438399	0.0218953	0.0385161	0.0320573	0.0816653	0.0651963	0.121804	0.0397086	0.0351465	0.110381	0.10228	0.15643	0.0606911	0.121436	0.0493007	0.17361	0.12497	0.096275	0.00161688	0.00167362	0.0869847	0.102235	0.114934	0.0209564	0.0214732	0.0241086	0.00477977	0.122811	0.0464694	0.0774339	0.00116541	0.0939228	0.158057	0.0282351	8.89951e-07	0.0100632	0.0147555	0.0359021	0.0245344	0.00681188	0.01728	0.0343788	0.0192048	0.0583227	0.0406851	0.0256069	0.0348534	0.0260579	0.0751995	0.0066553	0.0201715	0.144752	0.381935	0.119881	0.272303	0.0309677	0.0205625	0.124976	0.0160269	0.0713595	0.0206435	0.177958	0.0513805	0.0350804	0.110244	0.0235208	0.052197	0.0127996	0.0597041	0.0334094	0.0579344	0.0307336	0.0243846	0.00659911	0.0695348	0.0526315	0.090423	0.0464188	0.0641882	0.0110451	0.0350181	0.0663914	0.0379937	0.0191382	1.132904	0.8670955	0.323991	0.577146	0.842414	1.18706	1.73266	3.0865	0.8149264	0.7653739	0.0273834	0.0125812	0.0212928	0.0141267	0.0106962	0.00769811	0.00384472	0.00676327	0.00562912	0.0143401	0.0114482	0.0213884	0.00697267	0.00617158	0.0193825	0.01796	0.0274684	0.0106571	0.0213236	0.00865699	0.0304851	0.0219441	0.0169055	0.000283916	0.000293881	0.0152741	0.0179521	0.0201819	0.00367986	0.00377061	0.00423336	0.000839307	0.021565	0.00815983	0.0135971	0.000204641	0.0164924	0.0277541	0.00495797	1.56272e-07	0.00176706	0.00259101	0.00630425	0.00430813	0.00119614	0.0030343	0.00603677	0.00337228	0.0102412	0.00714413	0.00449647	0.00612011	0.00457565	0.0132047	0.00116864	0.00354203	0.0254178	0.0670661	0.0210507	0.0478153	0.0054378	0.00361069	0.0219452	0.00281426	0.0125304	0.00362491	0.0312488	0.0090222	0.00615998	0.0193583	0.00413015	0.00916558	0.00224755	0.0104838	0.00586656	0.010173	0.0053967	0.00428184	0.00115878	0.01221	0.00924187	0.0158779	0.00815095	0.0112712	0.00193947	0.00614904	0.0116581	0.00667154	0.00336058	0.433548	0.566452	5.694896
144	-3868.412	-4014.446	146.0338	0.177091	0.0628599	0.0741631	0.0670067	0.0797747	0.0279224	0.0245561	0.0233903	0.0432597	0.0786226	0.0423357	0.0985919	0.0650559	0.0379865	0.0701548	0.114761	0.141398	0.0751528	0.14366	0.0351863	0.11922	0.113155	0.0807989	0.0193065	0.00718857	0.101058	0.106872	0.0379034	0.0270045	0.0176529	0.0302089	0.0395674	0.064874	0.0666027	0.0472378	0.0185246	0.0770135	0.194368	0.0171234	0.00295674	0.00497517	0.0111652	0.0320726	0.00380265	0.00467602	0.0324492	0.0280188	0.010273	0.0968604	0.0131818	0.0213536	0.0887648	0.0102917	0.18512	0.0640801	0.0361714	0.00134581	0.0801854	0.0202044	0.0751888	0.0513377	0.0317533	0.0385555	0.0603583	0.022955	0.0215425	0.0321343	0.156419	0.0629845	0.0115994	0.00591604	0.0417204	0.0922273	0.252538	0.0524243	0.103301	0.0592712	0.126902	0.0314823	0.0301153	0.0123297	0.074811	0.0360249	0.196953	0.0207746	0.0361921	0.0404044	0.0122103	0.0221966	1.116281	0.8837192	0.258282	0.516745	0.813856	1.22872	1.93519	3.87174	0.9788219	0.7916638	0.0338659	0.012021	0.0141826	0.012814	0.0152557	0.00533973	0.00469597	0.00447303	0.00827274	0.0150354	0.00809605	0.0188542	0.0124409	0.00726433	0.013416	0.0219464	0.0270401	0.0143718	0.0274727	0.00672884	0.022799	0.0216392	0.0154515	0.00369208	0.0013747	0.0193258	0.0204376	0.00724845	0.0051642	0.00337585	0.00577699	0.00756666	0.0124062	0.0127367	0.0090335	0.00354255	0.0147276	0.0371698	0.00327458	0.000565431	0.000951425	0.00213517	0.00613338	0.000727199	0.000894217	0.00620542	0.00535815	0.00196455	0.0185231	0.00252082	0.00408354	0.0169749	0.00196812	0.0354014	0.0122543	0.00691722	0.000257366	0.0153342	0.00386377	0.0143787	0.00981753	0.00607234	0.00737315	0.0115426	0.0043898	0.00411967	0.0061452	0.0299127	0.0120448	0.0022182	0.00113135	0.00797837	0.017637	0.0482939	0.0100253	0.0197547	0.0113347	0.024268	0.00602051	0.00575908	0.00235786	0.0143064	0.0068892	0.0376642	0.00397283	0.00692119	0.00772671	0.00233503	0.00424475	0.44186	0.55814	5.22918
180	-3897.924	-4042.654	144.73	0.101575	0.112029	0.0482535	0.0195691	0.0463341	0.0543129	0.00430676	0.0637798	0.0427319	0.12764	0.038131	0.1235	0.0716157	0.0304536	0.0761914	0.0959499	0.159637	0.109811	0.18768	0.0557524	0.10764	0.126779	0.0861043	0.00900352	0.0123372	0.13423	0.113243	0.0479019	0.0541681	0.0248497	0.0585499	0.0139286	0.0735956	0.0891593	0.108154	0.0175182	0.0860992	0.282801	0.0230593	0.0163177	0.0258816	0.00910314	0.0635118	0.00677592	0.0482	0.0516627	0.102616	0.0168589	0.12843	0.0121965	0.0113804	0.0792386	0.0419111	0.138315	0.0851141	0.0280139	0.00620209	0.0533444	0.0362445	0.0998692	0.0999863	0.0221585	0.0734242	0.0820537	0.0415344	0.0043255	0.0607717	0.181391	0.0555106	0.0299679	0.0401357	0.0343904	0.0778936	0.245684	0.0696323	0.0671464	0.0437297	0.100427	0.0345436	0.00760953	0.0141622	0.134455	0.027507	0.272781	0.0181344	0.0463722	0.0309577	0.0193104	0.0502835	1.114164	0.885836	0.370994	0.616566	0.859958	1.16285	1.62189	2.69546	0.7169723	0.7950679	0.0166905	0.0184082	0.0079288	0.00321551	0.00761342	0.00892446	0.000707668	0.01048	0.00702153	0.0209733	0.00626552	0.020293	0.0117676	0.00500401	0.0125195	0.0157661	0.0262309	0.0180437	0.0308388	0.009161	0.0176869	0.0208319	0.0141483	0.00147942	0.0020272	0.0220561	0.0186076	0.00787104	0.00890067	0.00408319	0.00962066	0.00228868	0.0120929	0.0146503	0.0177713	0.00287852	0.0141474	0.0464687	0.003789	0.00268125	0.00425276	0.00149579	0.010436	0.00111339	0.00792001	0.00848899	0.0168614	0.00277018	0.0211031	0.00200407	0.00186998	0.0130201	0.00688666	0.0227273	0.0139856	0.00460313	0.0010191	0.00876533	0.00595554	0.0164101	0.0164293	0.00364099	0.0120647	0.0134827	0.00682476	0.000710747	0.00998575	0.0298055	0.00912127	0.0049242	0.00659492	0.00565089	0.0127991	0.0403697	0.0114417	0.0110332	0.00718548	0.0165017	0.00567606	0.00125036	0.00232707	0.0220931	0.00451983	0.0448223	0.00297977	0.00761968	0.00508683	0.003173	0.00826237	0.442918	0.557082	6.085844
216	-3860.884	-4006.508	145.6245	0.168824	0.11668	0.0469483	0.00813605	0.0455432	0.0494159	0.0211963	0.0422956	0.0641581	0.029158	0.0603704	0.101786	0.0249631	0.0551742	0.138898	0.0849315	0.143473	0.0932614	0.144076	0.0795407	0.068089	0.106314	0.0273702	0.0122008	0.00645985	0.088532	0.0900159	0.0650049	0.0618008	0.0388152	0.0542466	0.0216968	0.128372	0.101944	0.052183	0.0410609	0.0709179	0.239523	0.0301063	0.00583486	0.0194132	0.0328137	0.0422626	0.0166077	0.0128763	0.0190735	0.0169652	0.0190519	0.080731	0.0397653	0.00236944	0.0154554	0.0213267	0.05362	0.0153678	0.0611586	0.169565	0.278774	0.0516179	0.257869	0.0228716	0.0213279	0.231308	0.025492	0.0220808	0.0248329	0.0618607	0.0177561	0.044267	0.0504554	0.0684205	0.18218	0.038856	0.156006	0.0262367	0.0483435	0.0393054	0.0287942	0.0333797	0.0288905	0.0274499	0.0416635	0.0720989	0.0549629	0.0103731	0.0638985	0.0458478	0.0376723	0.0114119	1.141904	0.858096	0.342576	0.593061	0.849594	1.17703	1.68617	2.91906	0.7745962	0.7514607	0.0301792	0.0208579	0.00839254	0.00145441	0.00814137	0.00883366	0.00378909	0.00756082	0.011469	0.00521233	0.0107919	0.0181954	0.00446244	0.00986303	0.0248295	0.0151825	0.0256475	0.0166715	0.0257552	0.0142188	0.0121717	0.0190049	0.00489275	0.00218103	0.00115477	0.0158261	0.0160914	0.0116204	0.0110476	0.00693867	0.0096972	0.00387855	0.022948	0.0182237	0.00932831	0.00734011	0.0126774	0.0428175	0.00538185	0.00104305	0.00347034	0.00586582	0.00755492	0.00296882	0.00230179	0.00340962	0.00303273	0.00340574	0.0144316	0.00710851	0.000423565	0.00276283	0.0038124	0.00958519	0.00274717	0.0109328	0.0303118	0.049834	0.00922729	0.046097	0.00408855	0.00381261	0.041349	0.00455698	0.0039472	0.00443917	0.0110583	0.0031741	0.00791323	0.00901948	0.012231	0.0325668	0.00694596	0.0278879	0.00469012	0.00864196	0.00702629	0.00514728	0.005967	0.0051645	0.00490698	0.00744782	0.0128885	0.00982525	0.00185431	0.0114226	0.00819583	0.00673436	0.00204001	0.429048	0.570952	5.594047
252	-3868.749	-4013.501	144.7519	0.287745	0.126714	0.0221585	0.0389151	0.071138	0.0259514	0.0308215	0.0314541	0.0524298	0.0306973	0.075022	0.132935	0.0323175	0.039581	0.116466	0.0219315	0.102098	0.101282	0.170024	0.0184287	0.0641894	0.114079	0.0577907	0.00814198	0.00701538	0.0834465	0.0989383	0.0132193	0.0458598	0.0260619	0.0639359	0.0415016	0.0941918	0.111383	0.0993214	0.0374893	0.0702615	0.158993	0.0241989	0.00511294	0.0048827	0.0192088	0.0156546	0.020283	0.0104405	0.0381621	0.0228232	0.0462581	0.0876737	0.0273967	0.0557838	0.0158825	0.00727025	0.0659863	0.0259558	0.0556669	0.136304	0.302747	0.0564131	0.388124	0.0491233	0.147257	0.234624	0.0134647	0.0188273	0.0148263	0.162483	0.0872561	0.0570805	0.0300742	0.0409163	0.197847	0.0685558	0.072823	0.0517379	0.0403969	0.0732948	0.0220474	0.0154706	0.0337887	0.0298105	0.044077	0.0908242	0.0593825	0.00894731	0.0476037	0.0434228	0.0458114	0.0170739	1.059801	0.9401993	0.333717	0.585531	0.846213	1.18173	1.70785	2.99655	0.7935414	0.8871472	0.0481582	0.0212073	0.00370853	0.00651297	0.0119059	0.00434332	0.0051584	0.00526428	0.00877486	0.00513762	0.012556	0.0222486	0.00540877	0.00662443	0.0194922	0.00367054	0.0170876	0.0169509	0.0284559	0.0030843	0.010743	0.0190926	0.00967208	0.00136267	0.00117412	0.0139659	0.0165587	0.00221243	0.00767527	0.00436182	0.0107006	0.00694586	0.0157643	0.0186415	0.0166228	0.00627435	0.0117592	0.0266096	0.00405003	0.000855721	0.000817187	0.00321487	0.00262001	0.00339464	0.00174737	0.00638696	0.00381979	0.00774194	0.0146734	0.00458522	0.00933619	0.00265816	0.00121678	0.0110437	0.00434406	0.00931663	0.0228124	0.0506689	0.00944152	0.064958	0.00822147	0.0246454	0.0392676	0.0022535	0.00315101	0.00248138	0.0271937	0.0146035	0.0095532	0.00503334	0.00684791	0.0331124	0.0114738	0.0121879	0.00865906	0.00676098	0.0122669	0.00368993	0.00258922	0.005655	0.0049892	0.00737689	0.0152007	0.00993848	0.00149746	0.00796714	0.0072674	0.00766716	0.00285755	0.4701	0.5299	5.975009
288	-3868.465	-4013.419	144.9539	0.281528	0.144339	0.0216797	0.0724576	0.050169	0.0429942	0.0261457	0.0230943	0.0406005	0.112948	0.0747821	0.12425	0.0380404	0.0768645	0.12776	0.0961302	0.128184	0.0804005	0.173861	0.060468	0.0878601	0.130653	0.0432205	0.0147477	0.00396538	0.076753	0.110508	0.0500337	0.0430686	0.0179361	0.0605104	0.0586014	0.0745051	0.0566346	0.0837264	0.014326	0.109716	0.208811	0.0269594	0.0110211	0.00936427	0.0126922	0.0218004	0.0170948	0.0108908	0.0270714	0.0280537	0.059866	0.0945773	0.0180531	0.0337989	0.00889187	0.0220968	0.0162246	0.0273931	0.0544642	0.285948	0.248685	0.0646885	0.371365	0.0238196	0.10224	0.0858864	0.00465555	0.0102171	0.0156565	0.0607056	0.0235867	0.0374725	0.064746	0.0651813	0.158836	0.0842205	0.0346857	0.0362338	0.0599165	0.0204571	0.0314895	0.0151364	0.0557141	0.0914011	0.102514	0.0245312	0.0142643	0.0136766	0.0638154	0.0322691	0.0289341	0.0130684	1.070558	0.9294417	0.344435	0.594629	0.850294	1.17606	1.68172	2.9033	0.7706826	0.8681841	0.047809	0.0245116	0.00368164	0.0123047	0.00851967	0.00730126	0.00444004	0.00392187	0.00689475	0.0191808	0.0126994	0.0211002	0.00646	0.0130531	0.0216962	0.0163248	0.0217681	0.0136536	0.0295249	0.0102686	0.0149204	0.0221874	0.00733968	0.00250445	0.000673398	0.0130342	0.0187665	0.0084967	0.00731389	0.00304589	0.0102758	0.00995166	0.0126524	0.00961766	0.0142184	0.00243284	0.018632	0.0354602	0.00457822	0.0018716	0.00159024	0.00215539	0.00370213	0.00290304	0.00184947	0.00459725	0.00476407	0.0101664	0.0160611	0.00306577	0.00573971	0.00151001	0.00375247	0.00275525	0.00465188	0.00924908	0.0485595	0.0422315	0.0109854	0.063065	0.00404504	0.0173624	0.0145852	0.000790603	0.00173506	0.00265878	0.010309	0.00400547	0.00636356	0.0109951	0.0110691	0.0269735	0.0143023	0.0058903	0.0061532	0.010175	0.00347402	0.00534753	0.00257045	0.00946134	0.0155217	0.0174088	0.00416588	0.00242235	0.00232255	0.0108371	0.00547992	0.00491358	0.00221927	0.464721	0.535279	5.888606
324	-3895.649	-4039.251	143.602	0.19925	0.158072	0.11547	0.00881301	0.127559	0.0201296	0.0558047	0.0271352	0.012426	0.112623	0.0726803	0.0900142	0.0703965	0.0395366	0.135944	0.122101	0.0896677	0.136061	0.123212	0.0692157	0.138483	0.121755	0.0652543	0.0249652	0.0119486	0.0958718	0.0965757	0.0470872	0.0241353	0.0529222	0.092537	0.0685444	0.0868421	0.0827531	0.0687703	0.0541788	0.0698772	0.267308	0.0387572	0.108782	0.00598283	0.0131961	0.0809696	0.0155259	0.0136133	0.0217476	0.0834528	0.0764322	0.263639	0.0106878	0.0251567	0.00343163	0.00912412	0.0300784	0.0250135	0.0356365	0.327315	0.328123	0.076408	0.201459	0.07695	0.0704902	0.204338	0.0368017	0.0124997	0.0111876	0.0677916	0.0197537	0.0895043	0.0480119	0.0746109	0.133113	0.0964044	0.088163	0.0385807	0.0146784	0.00453927	0.0038338	0.0264021	0.0772561	0.100791	0.136612	0.0788934	0.0224594	0.00995585	0.0238589	0.0379729	0.0392769	0.0058249	1.131833	0.8681666	0.357088	0.605183	0.854974	1.16963	1.65239	2.80043	0.7445978	0.7670445	0.0297343	0.0235892	0.0172318	0.00131518	0.0190358	0.00300397	0.00832781	0.00404943	0.00185435	0.0168069	0.0108462	0.0134329	0.0105054	0.0059001	0.0202871	0.0182213	0.0133812	0.0203045	0.018387	0.0103292	0.020666	0.0181696	0.00973798	0.00372559	0.0017831	0.0143071	0.0144121	0.00702688	0.00360174	0.00789765	0.0138094	0.010229	0.0129596	0.0123494	0.0102627	0.00808518	0.0104279	0.0398907	0.00578378	0.0162337	0.000892826	0.00196928	0.0120832	0.00231695	0.00203153	0.00324542	0.0124538	0.0114061	0.0393432	0.00159496	0.00375416	0.000512106	0.0013616	0.00448863	0.00373279	0.00531808	0.0488457	0.0489662	0.0114025	0.0300639	0.0114833	0.0105193	0.0304936	0.00549197	0.00186535	0.00166955	0.0101166	0.00294787	0.0133568	0.00716487	0.0111343	0.0198646	0.0143866	0.0131567	0.00575745	0.00219048	0.0006774	0.000572122	0.00394002	0.011529	0.0150412	0.0203867	0.0117734	0.00335164	0.00148572	0.00356049	0.00566675	0.00586134	0.000869257	0.434083	0.565917	6.701008
